2.0, 10861
4.0, 10989
2.0, 11083
4.0, 12827
2.0, 15559
4.0, 17617
2.0, 21744
4.0, 22196
2.0, 22306
4.0, 23809
2.0, 27407
4.0, 27749
2.0, 27842
4.0, 30029
2.0, 33179
4.0, 35152
2.0, 38422
4.0, 38638
2.0, 38763
4.0, 40604
2.0, 43320
4.0, 45504
2.0, 48690
4.0, 49220
2.0, 49346
4.0, 52405
2.0, 55547
4.0, 57842
2.0, 61323
4.0, 61415
2.0, 61541
4.0, 63699
2.0, 66753
4.0, 66877
2.0, 66970
4.0, 67407
2.0, 67532
4.0, 69364
2.0, 72085
4.0, 74474
2.0, 77307
4.0, 77398
2.0, 77521
4.0, 80134
2.0, 83930
4.0, 84151
2.0, 84278
4.0, 84497
2.0, 84620
4.0, 85582
2.0, 85677
4.0, 87210
2.0, 90700
4.0, 90791
2.0, 90915
4.0, 92987
2.0, 101361
4.0, 103444
2.0, 122049
