2.0, 10397
4.0, 20105
2.0, 21080
4.0, 28697
2.0, 34798
4.0, 35158
2.0, 35251
4.0, 44631
2.0, 47027
4.0, 47369
2.0, 47464
4.0, 56918
2.0, 58793
4.0, 59103
2.0, 59229
4.0, 67838
2.0, 69585
4.0, 77870
2.0, 79945
4.0, 80386
2.0, 80478
4.0, 89764
2.0, 92172
4.0, 101687
2.0, 103856
4.0, 104196
2.0, 104290
4.0, 112582
2.0, 115624
4.0, 126114
2.0, 127954
4.0, 138964
2.0, 140495
4.0, 149967
2.0, 151721
4.0, 152162
2.0, 152254
4.0, 161971
2.0, 164061
4.0, 172431
2.0, 175044
4.0, 175692
2.0, 175818
4.0, 176254
2.0, 176347
4.0, 185196
2.0, 186725
4.0, 187031
2.0, 187155
4.0, 196075
2.0, 198466
4.0, 207535
2.0, 209507
4.0, 209924
2.0, 210048
4.0, 219316
2.0, 221689
4.0, 222029
2.0, 222121
4.0, 222338
2.0, 222461
4.0, 233599
2.0, 234897
4.0, 235340
2.0, 235465
4.0, 244199
2.0, 247467
4.0, 254777
2.0, 260986
4.0, 261415
2.0, 261538
4.0, 262504
2.0, 262628
4.0, 265470
2.0, 267203
4.0, 267647
2.0, 267742
4.0, 277333
2.0, 285526
