2.0, 10193
4.0, 10850
2.0, 10942
4.0, 18698
2.0, 21440
4.0, 22312
2.0, 22403
4.0, 29057
2.0, 31668
4.0, 38865
2.0, 41609
4.0, 42256
2.0, 42350
4.0, 48904
2.0, 51180
4.0, 51828
2.0, 51953
4.0, 57825
2.0, 60557
4.0, 67099
2.0, 69720
4.0, 70374
2.0, 70498
4.0, 77249
2.0, 79553
4.0, 80956
2.0, 81077
4.0, 87710
2.0, 90232
4.0, 97545
2.0, 100908
4.0, 101565
2.0, 101687
4.0, 102219
2.0, 102342
4.0, 108992
2.0, 111817
4.0, 119739
2.0, 122124
4.0, 123113
2.0, 123207
4.0, 129990
2.0, 132706
4.0, 133362
2.0, 133487
4.0, 140231
2.0, 142760
4.0, 150355
2.0, 152542
4.0, 153538
2.0, 153632
4.0, 160201
2.0, 163146
4.0, 170751
2.0, 173678
4.0, 174680
2.0, 174775
4.0, 181208
2.0, 183798
4.0, 184451
2.0, 184575
4.0, 191423
2.0, 193595
4.0, 194811
2.0, 194903
4.0, 204701
2.0, 204823
4.0, 211903
2.0, 222136
