2.0, 6436
4.0, 8729
2.0, 11886
4.0, 12010
2.0, 12105
4.0, 13963
2.0, 17232
4.0, 17358
2.0, 17451
4.0, 19107
2.0, 22906
4.0, 24858
2.0, 28482
4.0, 28573
2.0, 28697
4.0, 30101
2.0, 33716
4.0, 33934
2.0, 34027
4.0, 35675
2.0, 39293
4.0, 41012
2.0, 44512
4.0, 46458
2.0, 49505
4.0, 49628
2.0, 49721
4.0, 51657
2.0, 55269
4.0, 57455
2.0, 61015
4.0, 63076
2.0, 66680
4.0, 68310
2.0, 72228
4.0, 74166
2.0, 77889
4.0, 79284
2.0, 82550
4.0, 82781
2.0, 82876
4.0, 84088
2.0, 87691
4.0, 87911
2.0, 88016
4.0, 89883
2.0, 93159
4.0, 94580
2.0, 98168
4.0, 98290
2.0, 98385
4.0, 99702
2.0, 102866
4.0, 102960
2.0, 103084
4.0, 104918
2.0, 107955
4.0, 108079
2.0, 108175
4.0, 109480
2.0, 115262
