-0.00163873,-7.20169e-13, -7.08441e-13, -7.01208e-13, 7.01208e-13, 4.25153e-24
-0.00165415,-1.17278e-11, -1.15136e-11, -1.13817e-11, 1.13817e-11, 1.02986e-22
-0.0016822,-9.53452e-11, -9.33922e-11, -9.21906e-11, 9.21906e-11, 1.24621e-21
-0.00168633,-5.19523e-10, -5.07602e-10, -5.00277e-10, 5.00277e-10, 1.00763e-20
-0.0018688,-2.14861e-09, -2.09352e-09, -2.05972e-09, 2.05972e-09, 6.14365e-20
-0.00187707,-7.23725e-09, -7.03064e-09, -6.90403e-09, 6.90403e-09, 3.02202e-19
-0.00185092,-2.07859e-08, -2.0128e-08, -1.97254e-08, 1.97254e-08, 1.2527e-18
-0.00171272,-5.25672e-08, -5.07313e-08, -4.96094e-08, 4.96094e-08, 4.51232e-18
-0.0017484,-1.19855e-07, -1.15259e-07, -1.12454e-07, 1.12454e-07, 1.44498e-17
-0.00173442,-2.50803e-07, -2.4029e-07, -2.33884e-07, 2.33884e-07, 4.18682e-17
-0.00152715,-4.88317e-07, -4.6605e-07, -4.52499e-07, 4.52499e-07, 1.11311e-16
-0.00151094,-8.94217e-07, -8.50046e-07, -8.23198e-07, 8.23198e-07, 2.74623e-16
-0.00148145,-1.55337e-06, -1.47059e-06, -1.42032e-06, 1.42032e-06, 6.34612e-16
-0.00164557,-2.57754e-06, -2.42986e-06, -2.34029e-06, 2.34029e-06, 1.38421e-15
-0.00161219,-4.10848e-06, -3.85628e-06, -3.70345e-06, 3.70345e-06, 2.86837e-15
-0.00162816,-6.32019e-06, -5.90577e-06, -5.65486e-06, 5.65486e-06, 5.67784e-15
-0.00164127,-9.41977e-06, -8.76185e-06, -8.36378e-06, 8.36378e-06, 1.07865e-14
-0.00165582,-1.3647e-05, -1.26343e-05, -1.20219e-05, 1.20219e-05, 1.97456e-14
-0.00168157,-1.92721e-05, -1.77562e-05, -1.68399e-05, 1.68399e-05, 3.49511e-14
-0.00168498,-2.65923e-05, -2.438e-05, -2.30429e-05, 2.30429e-05, 6.00018e-14
-0.00186928,-3.59265e-05, -3.27715e-05, -3.08648e-05, 3.08648e-05, 1.00168e-13
-0.00155139,-4.76083e-05, -4.32034e-05, -4.05407e-05, 4.05407e-05, 1.62989e-13
-0.00149814,-6.19789e-05, -5.59473e-05, -5.22999e-05, 5.22999e-05, 2.59027e-13
-0.00149838,-7.93776e-05, -7.12657e-05, -6.63573e-05, 6.63573e-05, 4.02791e-13
