-86.8033,-11.6574,-11.1508,-10.6662,-10.2027,-9.7593,-9.33519
-79.6777,-45.3034,-42.3924,-39.7835,-37.5218,-35.6233,-34.0752
-73.8256,-60.8112,-53.7454,-48.2299,-44.4405,-42.2287,-41.2225
-70.6399,-25.6477,-16.1437,-11.0513,-10.1039,-11.7711,-14.2855
-70.2722,7.72955,15.6721,15.4435,10.1488,4.65855,1.65969
-71.9735,6.70531,10.9875,4.58791,-3.07709,-5.1089,-3.00074
-77.4155,7.52071,7.90786,-1.64914,-4.65896,-0.0079339,3.05671
-85.5104,16.3991,12.6162,3.54939,7.44322,11.7302,8.99304
-92.8759,14.2022,6.52151,1.36545,8.56506,6.14971,2.96285
-96.0805,10.3525,-0.0364202,0.999198,5.66078,0.205396,3.3086
-95.9242,15.1134,3.1094,9.79114,7.92832,6.96519,9.96045
-95.3415,21.0748,8.2242,17.4166,10.1452,14.5484,10.9777
-96.3756,23.7048,10.908,18.7147,11.7665,15.1614,11.9627
-98.2454,24.5488,12.8735,16.2536,15.2412,12.8914,16.352
-98.4471,23.7947,14.2899,12.0722,17.7837,12.8993,16.0297
-97.22,22.566,16.1057,9.27971,17.0768,16.2854,12.8599
-94.6544,22.554,19.6401,10.7704,14.345,18.6328,15.4216
-93.5341,22.5048,23.2197,15.4128,11.8661,15.4132,18.6905
-93.5625,20.3417,24.5074,20.3934,12.5447,10.7089,14.0879
-92.5449,16.3994,23.6868,24.5586,18.5367,13.8033,10.7802
-87.2061,13.1645,23.014,28.3193,28.4933,26.6862,22.8015
-80.0907,12.6216,24.1169,31.605,37.1701,39.7258,41.4453
-74.1421,13.3639,25.3136,31.9772,38.011,40.8342,43.8879
-70.7505,11.8034,23.087,26.5529,28.4336,28.1243,27.0308
-70.2825,6.61156,16.4976,16.0682,13.2494,11.5075,9.91196
-71.8451,-0.690704,7.49858,4.26761,0.266958,0.728092,2.9176
-77.0416,-8.81109,-2.30173,-6.12454,-7.08075,-4.32554,-2.16311
-85.034,-17.6598,-12.5782,-14.651,-11.1941,-9.50978,-11.1101
-92.5562,-26.4525,-22.3898,-21.1809,-15.7289,-16.9188,-18.3863
-96.0327,-32.3637,-28.9634,-24.435,-21.0602,-22.8915,-20.8292
-95.9706,-32.7618,-29.9946,-23.74,-24.8837,-24.4636,-22.7861
